household_id,country,urban_rural,income_decile,age_head_band,household_size,dwelling_type,dwelling_age_band,building_efficiency_class,heating_fuel,annual_income_eur,annual_energy_spend_eur,is_energy_burdened
762,IT,rural,7,<35,4,house,20-50yr,G,wood,43298.66,885.6,0
763,IT,suburban,5,<35,1,house,20-50yr,C,gas,21694.66,356.28,0
764,IT,rural,7,35-65,1,apartment,20-50yr,F,gas,36458.79,684.73,0
765,LV,suburban,9,<35,1,apartment,20-50yr,B,gas,45920.45,454.55,0
766,IT,urban,1,35-65,2,house,<20yr,E,electric,10029.08,2047.95,1
767,IT,urban,10,35-65,1,apartment,20-50yr,B,gas,48956.36,263.9,0
768,IT,suburban,9,35-65,3,apartment,20-50yr,B,gas,42430.32,363.23,0
769,IT,urban,5,35-65,2,apartment,20-50yr,C,wood,19634.97,415.72,0
770,ES,suburban,8,35-65,2,house,>50yr,G,electric,33040.17,907.47,0
771,IT,rural,1,35-65,4,apartment,<20yr,E,district,8327.54,1892.28,1
772,ES,rural,4,35-65,3,other,>50yr,E,wood,16865.47,769.99,0
773,ES,urban,2,>65,4,apartment,>50yr,C,gas,8880.18,1699.29,1
774,PT,suburban,7,<35,6,apartment,>50yr,F,gas,28668.2,1314.98,0
775,IT,urban,9,35-65,7,apartment,20-50yr,E,electric,40581.01,967.07,0
776,LV,urban,7,>65,1,apartment,<20yr,D,oil,34237.04,928.28,0
777,ES,suburban,8,35-65,1,apartment,>50yr,E,electric,28976.36,807.52,0
778,IT,suburban,2,>65,3,house,>50yr,G,district,10185.45,2590.18,1
779,PT,suburban,10,35-65,1,apartment,>50yr,G,wood,49144.96,760.16,0
780,LV,urban,2,35-65,4,apartment,20-50yr,G,electric,12300.49,5163.46,1
781,IT,rural,6,35-65,6,apartment,20-50yr,D,gas,23035.99,884.74,0
782,LV,rural,7,<35,5,apartment,20-50yr,A,gas,35096.68,572.04,0
783,ES,suburban,9,>65,2,other,20-50yr,C,electric,42697.39,694.06,0
784,ES,rural,10,<35,3,apartment,>50yr,C,gas,59192.76,410.14,0
785,LV,urban,6,>65,5,house,<20yr,D,wood,29510.06,1280.05,0
786,ES,suburban,6,35-65,1,apartment,<20yr,D,electric,20875.06,774.42,0
787,PT,rural,5,>65,1,apartment,<20yr,E,gas,20235.65,1148.75,0
788,IT,rural,6,>65,3,house,<20yr,E,wood,26630.06,837.76,0
789,PT,rural,7,35-65,3,apartment,20-50yr,E,electric,30903.82,1423.05,0
790,ES,suburban,7,>65,4,house,<20yr,G,gas,24696.17,1539.92,0
791,IT,rural,6,35-65,1,apartment,20-50yr,A,electric,27753.25,244.91,0
792,ES,suburban,5,35-65,3,apartment,20-50yr,A,oil,21150.87,288.87,0
793,IT,urban,2,35-65,1,other,>50yr,E,electric,11213.62,1339.62,1
794,IT,urban,1,<35,2,apartment,20-50yr,E,gas,7738.74,1810.61,1
795,IT,suburban,5,<35,2,other,<20yr,D,oil,13029.99,556.84,0
796,IT,suburban,4,35-65,4,other,>50yr,G,oil,18992.03,1507.22,0
797,IT,suburban,7,35-65,2,apartment,20-50yr,C,gas,32766.31,487.42,0
798,IT,rural,10,<35,2,apartment,20-50yr,E,gas,51630.77,498.99,0
799,PT,suburban,8,35-65,2,house,20-50yr,G,electric,28813.41,1280.73,0
800,PT,urban,9,35-65,2,apartment,>50yr,D,gas,39681.62,780.61,0
801,PT,urban,6,35-65,2,house,20-50yr,E,district,29024.06,871.78,0
802,IT,suburban,10,>65,7,apartment,>50yr,B,gas,51736.12,618.69,0
803,LV,suburban,10,>65,2,apartment,20-50yr,D,oil,55186.1,912.44,0
804,ES,suburban,2,>65,2,apartment,<20yr,A,district,10463.16,592.78,0
805,IT,suburban,7,35-65,1,house,<20yr,E,gas,31453.33,631.99,0
806,IT,suburban,6,<35,5,house,>50yr,E,electric,20518.95,982.51,0
807,PT,suburban,10,>65,2,house,20-50yr,G,gas,53356.48,1319.2,0
808,IT,rural,6,<35,2,apartment,20-50yr,E,electric,29468.37,889.76,0
809,ES,urban,1,<35,2,apartment,>50yr,A,district,6971.85,530.35,0
810,LV,suburban,3,35-65,2,apartment,20-50yr,F,district,13434.64,2161.69,1
811,IT,suburban,2,35-65,1,apartment,<20yr,D,electric,12882.04,1306.03,1
812,IT,urban,3,35-65,4,apartment,>50yr,F,wood,15659.26,1560.49,0
813,LV,suburban,1,<35,5,house,20-50yr,C,wood,8561.71,1642.03,1
814,ES,suburban,8,35-65,1,apartment,20-50yr,F,gas,38162.25,705.55,0
815,IT,suburban,5,<35,2,apartment,>50yr,G,wood,22208.51,799.98,0
816,LV,suburban,7,35-65,2,house,20-50yr,B,gas,28980.62,650.53,0
817,LV,urban,10,35-65,2,apartment,20-50yr,E,district,64887.29,790.25,0
818,ES,urban,7,35-65,2,other,20-50yr,E,wood,27964.01,655.46,0
819,ES,urban,5,35-65,1,apartment,<20yr,C,electric,18090.36,535.07,0
820,IT,urban,3,<35,1,apartment,20-50yr,D,gas,11375.6,890.47,0
821,IT,suburban,8,<35,4,house,20-50yr,E,district,32819.52,574.09,0
822,ES,rural,6,<35,1,house,20-50yr,C,gas,22747.82,384.36,0
823,IT,suburban,8,35-65,3,house,<20yr,A,electric,32356.36,260.86,0
824,PT,urban,1,>65,3,apartment,20-50yr,F,electric,6706.65,4507.86,1
825,PT,urban,2,35-65,3,apartment,20-50yr,E,gas,11634.78,2190.55,1
826,IT,urban,2,35-65,2,house,20-50yr,C,gas,9544.1,885.66,0
827,ES,suburban,7,>65,2,apartment,>50yr,G,gas,32572.41,1140.66,0
828,IT,urban,6,35-65,2,house,<20yr,G,district,27855.39,928.44,0
829,LV,suburban,4,<35,6,apartment,<20yr,G,wood,25742.7,1587.56,0
830,IT,suburban,4,35-65,2,apartment,>50yr,E,wood,16346.45,660.46,0
831,ES,suburban,7,35-65,4,apartment,<20yr,C,electric,29289.99,722.35,0
832,ES,urban,10,35-65,1,house,>50yr,C,oil,49174.91,335.2,0
833,ES,urban,10,35-65,3,apartment,20-50yr,G,electric,46136.29,1044.96,0
834,PT,suburban,5,35-65,1,other,20-50yr,G,oil,19717.08,1544.81,0
835,PT,suburban,7,35-65,2,apartment,20-50yr,F,wood,26703.56,890.75,0
836,ES,urban,1,35-65,2,apartment,20-50yr,E,gas,6698.19,1990.16,1
837,PT,rural,10,<35,2,apartment,>50yr,D,district,56987.6,540.69,0
838,LV,suburban,1,>65,1,house,<20yr,F,district,6811.68,3103.53,1
839,ES,suburban,4,35-65,1,house,>50yr,A,electric,19050.31,283.67,0
840,ES,urban,8,<35,4,apartment,>50yr,E,district,40931.24,684.14,0
841,IT,urban,10,<35,3,apartment,>50yr,E,wood,48309.34,471.74,0
842,PT,urban,2,<35,1,house,<20yr,F,gas,13567.43,1779.94,1
843,ES,urban,7,<35,4,apartment,>50yr,D,gas,31860.78,718.52,0
844,ES,suburban,2,<35,1,house,>50yr,F,oil,10880.4,1714.95,1
845,IT,suburban,1,<35,3,house,<20yr,B,wood,6126.64,600.46,0
846,LV,rural,5,>65,3,apartment,>50yr,C,gas,16241.08,1200.34,0
847,ES,rural,6,>65,5,house,<20yr,B,electric,31651.18,754.88,0
848,PT,urban,3,35-65,1,house,>50yr,D,electric,17064.55,1476.13,0
849,IT,urban,10,35-65,3,apartment,<20yr,D,electric,69914.79,644.39,0
850,LV,suburban,7,35-65,1,apartment,20-50yr,D,gas,39638.07,948.39,0
851,IT,rural,5,35-65,4,apartment,20-50yr,D,gas,25809.15,868.5,0
852,IT,rural,5,>65,3,house,<20yr,D,wood,21764.48,846.96,0
853,LV,urban,5,35-65,2,house,<20yr,D,gas,22839.55,1034.78,0
854,LV,urban,2,35-65,3,apartment,<20yr,F,electric,9926.88,3687.28,1
855,IT,urban,7,>65,1,apartment,>50yr,B,electric,31093.14,430.36,0
856,ES,rural,8,35-65,5,apartment,<20yr,D,district,40260.07,741.52,0
857,PT,suburban,5,<35,5,apartment,20-50yr,A,district,23552.85,366.64,0
858,LV,suburban,5,<35,3,apartment,20-50yr,A,district,20608.53,356.99,0
859,ES,suburban,10,35-65,4,apartment,20-50yr,E,electric,40564.38,736.45,0
860,ES,urban,7,<35,3,apartment,20-50yr,G,gas,23907.94,884.09,0
861,PT,suburban,3,<35,3,house,20-50yr,D,gas,15036.16,1654.1,1
862,PT,urban,1,<35,1,house,>50yr,D,electric,7415.98,2043.11,1
863,PT,suburban,9,35-65,3,apartment,>50yr,C,gas,47512.03,544.98,0
864,ES,suburban,7,>65,5,house,>50yr,B,gas,24993.43,618.02,0
865,IT,suburban,7,35-65,1,apartment,>50yr,G,gas,36797.7,817.78,0
866,LV,urban,3,<35,3,apartment,>50yr,E,gas,12163.19,2033.76,1
867,LV,rural,2,35-65,2,other,>50yr,F,electric,13727.12,3172.89,1
868,PT,suburban,5,35-65,2,apartment,20-50yr,G,district,16639.79,1423.29,0
869,IT,urban,8,35-65,3,apartment,>50yr,E,gas,39410.04,679.32,0
870,IT,urban,3,35-65,7,apartment,<20yr,C,gas,12174.42,1503.22,1
871,PT,suburban,6,<35,5,house,<20yr,F,electric,24966.77,1476.68,0
872,IT,urban,10,35-65,3,apartment,20-50yr,F,gas,64636.82,737.38,0
873,LV,urban,3,<35,6,other,20-50yr,D,district,16027.77,2020.62,1
874,ES,urban,3,35-65,3,apartment,20-50yr,E,electric,12373.94,1761.68,1
875,PT,urban,3,>65,2,apartment,20-50yr,D,gas,12770.94,1924.52,1
876,LV,suburban,10,>65,1,apartment,20-50yr,D,oil,43441.59,923.5,0
877,ES,suburban,6,<35,5,house,>50yr,E,electric,19107.45,1043.43,0
878,IT,urban,10,35-65,7,apartment,20-50yr,C,electric,48533.5,848.52,0
879,ES,suburban,10,35-65,3,other,20-50yr,D,gas,48381.82,474.12,0
880,ES,urban,5,>65,2,other,>50yr,D,gas,16753.01,912.91,0
881,ES,urban,1,35-65,2,apartment,20-50yr,E,gas,7757.4,1817.76,1
882,ES,urban,4,35-65,4,apartment,>50yr,G,wood,17415.13,1097.14,0
883,LV,suburban,6,<35,5,apartment,20-50yr,E,gas,24950.24,1253.51,0
884,ES,rural,4,<35,3,house,<20yr,F,gas,15523.49,1115.78,0
885,IT,suburban,1,35-65,3,house,>50yr,C,electric,7334.44,1505.67,1
886,ES,urban,10,35-65,3,apartment,<20yr,E,electric,52447.44,704.79,0
887,ES,urban,4,<35,2,other,20-50yr,B,gas,19781.72,419.21,0
888,IT,urban,7,>65,1,apartment,20-50yr,D,district,27103.98,550.55,0
889,IT,rural,10,35-65,3,house,20-50yr,E,electric,42756.78,884.65,0
890,PT,urban,6,>65,2,house,>50yr,C,district,23824.18,691.96,0
891,IT,rural,7,35-65,2,apartment,20-50yr,G,gas,28099.96,963.36,0
892,LV,suburban,1,>65,4,apartment,<20yr,D,electric,6278.82,4900.84,1
893,IT,suburban,7,35-65,3,apartment,>50yr,E,electric,28255.96,879.79,0
894,IT,rural,9,<35,3,other,<20yr,D,electric,37654.92,592.59,0
895,PT,urban,10,<35,3,apartment,20-50yr,F,gas,54361.07,889.84,0
896,LV,suburban,1,>65,2,house,20-50yr,E,gas,8519.97,3608.07,1
897,IT,urban,3,<35,1,apartment,20-50yr,B,wood,12917.36,389.77,0
898,IT,rural,1,35-65,4,apartment,20-50yr,G,wood,8637.39,2625.38,1
899,IT,suburban,10,35-65,1,other,20-50yr,E,gas,52531.76,621.58,0
900,ES,urban,3,<35,4,apartment,20-50yr,D,gas,13455.38,1053.3,0
901,ES,rural,6,<35,3,house,20-50yr,E,gas,23867.18,715.59,0
902,IT,urban,5,35-65,2,apartment,>50yr,C,electric,20397.92,576.68,0
903,IT,urban,7,35-65,4,apartment,<20yr,F,gas,24403.39,970.26,0
904,ES,suburban,9,35-65,1,apartment,>50yr,D,wood,32682.57,437.64,0
905,LV,suburban,4,<35,3,apartment,20-50yr,F,gas,20695.01,1360.84,0
906,PT,rural,8,35-65,3,house,20-50yr,C,oil,37160.75,661.98,0
907,ES,suburban,3,<35,3,apartment,>50yr,F,wood,12905.62,1511.75,1
908,IT,suburban,2,35-65,4,apartment,20-50yr,G,gas,12902.02,2263.62,1
909,IT,urban,2,<35,1,apartment,20-50yr,G,wood,16904.09,1382.69,0
910,IT,urban,4,<35,6,house,>50yr,F,district,13973.91,1114.01,0
911,PT,rural,6,>65,1,house,>50yr,F,electric,24854.36,1479.06,0
912,LV,urban,8,<35,3,house,20-50yr,E,gas,39788.97,905.65,0
913,LV,suburban,9,35-65,1,other,>50yr,B,electric,33672.27,463.17,0
914,LV,urban,6,35-65,5,apartment,20-50yr,E,gas,19883.42,1573.39,0
915,LV,urban,5,<35,3,apartment,>50yr,E,district,24226.36,1040.27,0
916,LV,suburban,2,35-65,4,apartment,<20yr,B,electric,10910.91,1796.97,1
917,IT,suburban,10,>65,3,apartment,<20yr,E,wood,49564.78,609.89,0
918,IT,suburban,4,35-65,3,house,20-50yr,B,electric,13682.22,464.91,0
919,IT,rural,8,<35,1,house,20-50yr,E,gas,37805.8,432.65,0
920,ES,urban,7,35-65,2,apartment,>50yr,D,electric,24312.03,729.72,0
921,IT,suburban,10,35-65,1,other,<20yr,G,wood,47204.59,626.23,0
922,PT,urban,10,35-65,1,apartment,<20yr,C,gas,47654.31,430.27,0
923,ES,suburban,8,>65,5,house,20-50yr,C,gas,34215.86,723.44,0
924,ES,urban,7,35-65,4,apartment,20-50yr,E,district,25432.61,1042.85,0
925,IT,suburban,2,35-65,3,house,>50yr,D,gas,9539.22,1748.7,1
926,IT,urban,1,35-65,6,apartment,20-50yr,C,wood,9218.29,1694.16,1
927,IT,rural,6,>65,1,other,<20yr,E,gas,25637.56,905.89,0
928,LV,rural,8,35-65,3,other,<20yr,G,wood,36083.14,1335.09,0
929,ES,rural,8,<35,2,apartment,20-50yr,F,electric,38434.24,783.02,0
930,PT,urban,3,>65,3,apartment,<20yr,C,gas,11943.73,1498.69,1
931,IT,rural,6,>65,2,house,>50yr,C,gas,26400.86,571.92,0
932,ES,urban,9,35-65,1,house,<20yr,E,gas,45842.99,615.8,0
933,ES,urban,1,35-65,2,apartment,>50yr,E,oil,6861.26,2116.94,1
934,PT,urban,4,35-65,1,house,20-50yr,G,gas,19138.56,1359.44,0
935,PT,urban,10,>65,2,house,20-50yr,B,gas,56979.2,542.34,0
936,IT,suburban,2,35-65,1,house,<20yr,E,electric,11441.46,1610.67,1
937,LV,urban,4,35-65,2,apartment,<20yr,G,district,22469.0,1623.31,0
938,IT,urban,5,35-65,5,other,20-50yr,B,gas,21388.99,598.44,0
939,LV,suburban,7,35-65,1,apartment,20-50yr,G,electric,26119.59,1661.1,0
940,IT,rural,3,<35,1,apartment,20-50yr,D,district,14276.33,816.11,0
941,IT,suburban,8,35-65,5,other,20-50yr,F,electric,36071.74,1453.79,0
942,PT,suburban,3,<35,2,apartment,20-50yr,D,district,11854.97,1162.32,0
943,IT,urban,4,35-65,2,apartment,>50yr,F,electric,12917.78,1281.55,0
944,ES,rural,6,>65,7,house,20-50yr,G,oil,24756.88,2169.64,0
945,ES,urban,1,35-65,1,house,<20yr,C,wood,9215.7,801.97,0
946,IT,urban,8,35-65,4,apartment,20-50yr,F,gas,41529.28,1149.45,0
947,PT,urban,7,>65,1,apartment,20-50yr,A,electric,31298.65,368.48,0
948,LV,suburban,9,<35,4,apartment,20-50yr,C,electric,54418.65,731.35,0
949,LV,urban,3,>65,5,apartment,20-50yr,E,gas,14371.3,3818.47,1
950,IT,suburban,4,<35,2,apartment,20-50yr,E,electric,16989.93,759.25,0
951,ES,urban,9,35-65,2,apartment,20-50yr,D,wood,44336.64,458.43,0
952,IT,suburban,1,35-65,6,other,<20yr,C,gas,7167.0,1979.17,1
953,IT,suburban,5,35-65,2,house,<20yr,C,electric,17364.55,561.34,0
954,IT,urban,5,35-65,2,house,>50yr,C,gas,18132.66,541.13,0
955,LV,urban,5,<35,1,other,20-50yr,B,gas,19543.01,454.58,0
956,LV,suburban,5,35-65,1,other,20-50yr,C,electric,23913.61,894.82,0
957,PT,suburban,8,<35,1,house,20-50yr,F,gas,28975.77,962.19,0
958,ES,urban,2,35-65,5,apartment,>50yr,C,electric,9504.68,1536.77,1
959,ES,suburban,9,35-65,2,house,<20yr,G,gas,48520.88,930.6,0
960,ES,urban,9,35-65,2,apartment,>50yr,C,district,40758.91,394.31,0
961,ES,urban,2,<35,1,apartment,20-50yr,D,wood,10675.97,886.47,0
962,ES,urban,10,35-65,1,apartment,>50yr,C,gas,51993.35,457.06,0
963,IT,suburban,3,35-65,1,apartment,20-50yr,A,gas,18707.95,430.78,0
964,IT,urban,1,35-65,3,apartment,>50yr,E,gas,8701.42,2021.33,1
965,LV,suburban,4,35-65,2,house,20-50yr,D,gas,18174.04,953.67,0
966,ES,urban,8,<35,3,apartment,>50yr,D,oil,37082.18,610.36,0
967,LV,suburban,9,<35,5,apartment,20-50yr,D,electric,45723.92,976.54,0
968,IT,urban,7,35-65,4,apartment,>50yr,F,electric,39584.16,1079.24,0
969,ES,suburban,9,<35,2,house,>50yr,D,wood,40654.54,404.56,0
970,IT,suburban,3,<35,3,apartment,20-50yr,B,wood,14358.82,560.29,0
971,IT,urban,9,35-65,4,apartment,20-50yr,C,electric,43188.31,566.78,0
972,IT,urban,7,35-65,1,house,20-50yr,E,electric,34353.7,661.43,0
973,IT,suburban,2,<35,3,house,>50yr,G,electric,14205.46,2640.01,1
974,LV,rural,2,<35,3,apartment,>50yr,B,electric,10070.97,1386.69,1
975,IT,rural,3,35-65,2,house,<20yr,D,gas,14984.63,1287.43,0
976,ES,urban,1,35-65,1,apartment,20-50yr,D,gas,8214.28,1452.03,1
977,ES,suburban,3,35-65,3,other,<20yr,G,gas,11360.57,2014.53,1
978,ES,urban,10,35-65,4,house,20-50yr,B,gas,63615.48,374.52,0
979,ES,urban,3,35-65,4,house,20-50yr,F,electric,17700.07,1989.89,1
980,IT,suburban,7,>65,2,apartment,>50yr,F,oil,33925.04,996.28,0
981,LV,suburban,10,35-65,6,house,<20yr,D,gas,50024.79,1033.45,0
982,PT,suburban,3,<35,2,apartment,>50yr,F,district,11422.05,1652.73,1
983,PT,rural,7,35-65,2,apartment,>50yr,E,gas,33028.2,996.31,0
984,ES,urban,5,<35,5,house,20-50yr,C,district,17860.79,601.95,0
985,IT,suburban,3,35-65,1,house,20-50yr,C,gas,12086.47,782.28,0
986,LV,urban,10,>65,2,apartment,20-50yr,D,gas,56754.39,849.61,0
987,IT,urban,7,35-65,3,house,20-50yr,D,gas,33500.93,596.03,0
988,IT,urban,5,<35,5,apartment,>50yr,F,gas,19967.39,1120.52,0
989,IT,rural,9,35-65,2,house,20-50yr,E,gas,41687.52,665.04,0
990,PT,suburban,10,>65,3,apartment,<20yr,F,electric,54084.49,1266.18,0
991,ES,urban,8,<35,2,apartment,>50yr,E,gas,31378.09,724.18,0
992,PT,suburban,9,35-65,2,house,20-50yr,D,gas,40616.82,792.47,0
993,PT,rural,4,>65,4,apartment,<20yr,B,gas,13729.94,804.48,0
994,IT,rural,4,35-65,2,other,>50yr,F,oil,19541.06,995.66,0
995,LV,suburban,3,35-65,1,apartment,<20yr,B,electric,21269.95,1012.48,0
996,ES,urban,7,35-65,3,house,<20yr,D,gas,30271.59,746.16,0
997,ES,suburban,9,35-65,1,apartment,20-50yr,E,gas,51411.35,626.28,0
998,IT,rural,7,35-65,3,house,20-50yr,F,oil,28845.41,979.32,0
999,LV,rural,6,<35,5,other,20-50yr,B,oil,20428.05,737.11,0
1000,IT,rural,8,35-65,1,house,20-50yr,E,electric,50460.84,705.07,0
1001,IT,suburban,2,>65,3,apartment,20-50yr,B,electric,9689.54,1339.18,1
1002,ES,urban,4,35-65,2,house,20-50yr,F,gas,20171.33,1247.25,0
1003,IT,suburban,8,35-65,1,house,<20yr,F,electric,37185.83,756.53,0
1004,IT,urban,1,<35,1,apartment,20-50yr,F,oil,9559.33,1468.07,1
1005,ES,urban,10,<35,3,house,>50yr,B,wood,54449.36,261.16,0
1006,ES,suburban,2,35-65,4,house,>50yr,E,gas,9237.94,1897.51,1
1007,LV,suburban,8,<35,3,house,>50yr,C,oil,32583.76,579.19,0
1008,IT,rural,7,35-65,1,apartment,20-50yr,D,electric,42692.87,704.28,0
1009,PT,suburban,9,35-65,1,apartment,20-50yr,G,oil,45112.16,829.49,0
1010,ES,rural,8,>65,1,other,>50yr,B,oil,49905.48,401.87,0
1011,PT,suburban,6,35-65,5,house,>50yr,E,wood,23658.94,969.36,0
1012,ES,suburban,8,35-65,2,apartment,>50yr,C,gas,40068.56,513.12,0
1013,ES,urban,4,35-65,2,other,20-50yr,E,gas,14434.4,1109.1,0
1014,LV,suburban,6,35-65,1,apartment,<20yr,E,gas,25111.9,948.65,0
1015,IT,urban,10,<35,4,apartment,<20yr,D,electric,76768.78,472.54,0
1016,IT,urban,1,>65,1,house,<20yr,E,electric,7112.61,2437.64,1
1017,PT,urban,4,35-65,2,house,20-50yr,G,oil,15778.44,1387.57,0
1018,PT,rural,1,<35,1,other,<20yr,F,electric,9057.39,2442.76,1
1019,IT,suburban,6,35-65,2,house,20-50yr,G,electric,25433.51,1197.63,0
1020,ES,rural,8,35-65,4,apartment,20-50yr,C,electric,47843.64,700.45,0
1021,LV,rural,1,35-65,1,apartment,20-50yr,G,gas,7716.04,3623.13,1
1022,PT,rural,6,>65,2,apartment,20-50yr,D,gas,25259.3,1090.5,0
1023,LV,urban,5,35-65,2,other,20-50yr,A,gas,22022.18,434.04,0
1024,ES,rural,8,<35,7,apartment,20-50yr,D,wood,30635.34,639.04,0
1025,PT,rural,3,35-65,5,apartment,>50yr,C,gas,11522.08,1605.19,1
1026,IT,rural,2,<35,1,apartment,20-50yr,F,gas,8930.13,1462.74,1
1027,LV,urban,1,35-65,3,apartment,>50yr,B,gas,4870.83,1699.1,1
1028,ES,urban,5,<35,3,apartment,20-50yr,E,electric,20733.85,854.25,0
1029,PT,rural,5,35-65,2,house,20-50yr,C,district,17277.71,679.28,0
1030,ES,urban,10,35-65,3,apartment,20-50yr,C,wood,50728.18,365.86,0
1031,ES,urban,5,35-65,1,other,20-50yr,G,gas,24472.11,965.91,0
1032,PT,suburban,2,<35,3,other,>50yr,E,electric,9544.94,2557.6,1
1033,ES,urban,7,<35,4,apartment,20-50yr,D,gas,33270.44,705.2,0
1034,LV,urban,1,>65,3,house,>50yr,F,wood,6311.74,3887.28,1
1035,ES,rural,4,35-65,1,apartment,>50yr,G,gas,15791.16,995.68,0
1036,ES,rural,7,35-65,1,apartment,>50yr,D,gas,38953.05,567.24,0
1037,IT,rural,3,35-65,1,apartment,<20yr,C,electric,13129.79,968.87,0
1038,ES,urban,6,>65,1,house,<20yr,G,electric,30327.28,1405.68,0
1039,ES,urban,5,35-65,1,house,>50yr,D,district,29899.26,755.79,0
1040,IT,urban,10,>65,1,apartment,>50yr,C,gas,51650.78,463.68,0
1041,IT,suburban,3,<35,3,house,>50yr,B,district,12669.5,556.59,0
1042,PT,urban,10,>65,3,house,20-50yr,B,gas,39777.24,542.86,0
1043,PT,suburban,7,<35,1,house,>50yr,G,gas,31342.28,916.8,0
1044,PT,rural,8,35-65,2,apartment,>50yr,G,oil,38107.39,1107.97,0
1045,IT,suburban,2,<35,2,house,>50yr,E,electric,12348.14,1569.66,1
1046,IT,urban,1,>65,3,house,20-50yr,E,wood,9856.63,2041.49,1
1047,IT,urban,8,>65,2,apartment,<20yr,F,electric,30865.28,1283.14,0
1048,PT,urban,5,35-65,1,house,20-50yr,E,electric,27804.23,1183.24,0
1049,LV,urban,4,35-65,2,apartment,20-50yr,E,gas,16775.75,1430.63,0
1050,IT,suburban,9,35-65,2,house,20-50yr,G,district,45410.82,767.74,0
1051,PT,urban,4,<35,1,house,20-50yr,C,oil,17323.96,611.55,0
1052,IT,suburban,5,35-65,4,apartment,>50yr,B,electric,18705.53,618.84,0
1053,IT,rural,8,<35,2,apartment,<20yr,F,wood,30075.01,651.27,0
1054,IT,urban,10,>65,1,house,20-50yr,F,gas,56762.67,751.99,0
1055,IT,urban,9,>65,1,house,20-50yr,C,wood,37209.9,389.25,0
1056,PT,urban,7,<35,1,house,>50yr,D,electric,29024.35,636.99,0
1057,LV,urban,2,35-65,3,house,20-50yr,E,wood,10340.55,2885.52,1
1058,IT,suburban,2,>65,2,apartment,20-50yr,D,oil,10418.23,1611.94,1
1059,ES,rural,7,>65,2,apartment,<20yr,G,electric,22903.73,1634.77,0
1060,PT,rural,6,35-65,1,house,20-50yr,F,wood,15546.1,884.66,0
1061,LV,suburban,2,<35,1,apartment,20-50yr,D,oil,12475.32,1628.38,1
1062,ES,urban,7,<35,3,house,>50yr,E,gas,35517.36,740.21,0
1063,IT,urban,10,35-65,7,apartment,20-50yr,E,oil,37452.74,992.45,0
1064,ES,urban,1,35-65,1,apartment,<20yr,B,electric,8517.9,1020.99,1
1065,IT,urban,9,35-65,6,house,>50yr,D,wood,44424.27,749.26,0
1066,LV,rural,4,35-65,2,house,<20yr,D,wood,14347.73,902.0,0
1067,ES,suburban,4,35-65,5,house,<20yr,G,gas,20022.96,1527.18,0
1068,PT,urban,8,<35,2,apartment,20-50yr,G,gas,42702.1,1113.77,0
1069,IT,urban,3,35-65,3,house,<20yr,B,gas,16411.19,778.32,0
1070,ES,urban,2,>65,2,apartment,<20yr,F,oil,14290.87,2202.3,1
1071,LV,rural,10,35-65,5,house,>50yr,E,wood,63901.78,1017.65,0
1072,ES,urban,4,<35,3,house,>50yr,A,oil,15448.04,259.65,0
1073,ES,urban,2,>65,2,apartment,>50yr,D,wood,11028.7,1427.98,1
1074,LV,urban,7,35-65,2,house,20-50yr,G,electric,31785.59,1642.61,0
1075,LV,rural,3,35-65,4,house,<20yr,D,electric,17582.45,1920.59,1
1076,IT,suburban,8,>65,4,apartment,>50yr,E,district,34669.27,921.66,0
1077,ES,suburban,1,35-65,1,house,20-50yr,E,gas,7276.09,1980.53,1
1078,ES,urban,6,>65,3,apartment,<20yr,E,electric,19507.21,1245.5,0
1079,ES,urban,5,>65,5,other,20-50yr,D,gas,23938.47,1007.37,0
1080,IT,rural,10,35-65,1,apartment,20-50yr,D,gas,56752.98,449.91,0
1081,IT,urban,6,35-65,2,apartment,<20yr,G,electric,21952.84,1211.87,0
1082,LV,urban,10,35-65,3,house,20-50yr,D,gas,61738.87,825.54,0
1083,LV,suburban,3,35-65,2,apartment,20-50yr,C,electric,13303.58,1499.31,1
1084,PT,urban,5,35-65,2,other,20-50yr,D,gas,17215.52,883.09,0
1085,LV,urban,9,35-65,3,apartment,<20yr,F,gas,52500.44,1357.43,0
1086,PT,rural,2,>65,3,apartment,20-50yr,D,gas,8072.24,2362.57,1
1087,PT,suburban,10,35-65,3,apartment,<20yr,F,wood,56199.21,894.26,0
1088,PT,urban,8,35-65,1,apartment,20-50yr,C,electric,35406.52,592.18,0
1089,ES,urban,7,35-65,2,apartment,20-50yr,E,wood,23462.04,711.74,0
1090,ES,suburban,3,35-65,6,apartment,20-50yr,G,electric,14700.33,2981.71,1
1091,IT,urban,9,<35,3,apartment,20-50yr,E,gas,38751.93,554.51,0
1092,ES,urban,9,35-65,4,apartment,20-50yr,E,oil,55353.37,855.46,0
1093,IT,suburban,3,35-65,2,apartment,<20yr,E,gas,16275.51,1470.38,0
1094,IT,suburban,6,<35,7,apartment,20-50yr,F,gas,25843.24,1265.58,0
1095,ES,rural,1,35-65,1,apartment,>50yr,D,electric,5505.17,1801.5,1
1096,ES,urban,4,35-65,1,apartment,20-50yr,E,wood,16100.48,594.04,0
1097,IT,urban,2,35-65,1,apartment,20-50yr,D,wood,10003.97,910.29,0
1098,PT,suburban,6,>65,7,apartment,20-50yr,D,gas,29977.0,1940.96,0
1099,LV,suburban,6,35-65,2,apartment,>50yr,D,oil,25676.38,976.56,0
